"Bus Number	Bus Yard	Bus Type	Bus Yard Address	Bus Yard Latitude	Bus Yard Longitude											"			
"B286	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B287	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B288	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B289	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309										"
"B290	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B291	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B292	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B293	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B294	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B295	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B296	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B297	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B298	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B299	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B300	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B301	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B302	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B303	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B304	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B305	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B306	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B307	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B308	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B309	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B310	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B311	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B312	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B313	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B314	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B315	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B316	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B317	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B318	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B319	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B320	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B321	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B322	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B323	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B324	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B325	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B326	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B327	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B328	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B329	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B330	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B331	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B332	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B333	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B334	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B335	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B336	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B337	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B338	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B339	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B340	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B341	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B342	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B343	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B344	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B345	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B346	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B347	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B348	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B349	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B350	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B351	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B352	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B353	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B354	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B355	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B356	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B357	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B358	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B359	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
